,track_name,artist_name
144,Down with the Sickness,Disturbed
145,Soul Singing,The Black Crowes
146,Tainted Love,Marilyn Manson
147,Hey Pretty,Poe
148,Last Nite,The Strokes
149,Killing The Fly,The Union Underground
150,Chop Suey!,System Of A Down
151,The Hollow,A Perfect Circle
152,The One,Foo Fighters
153,Days of the Week,Stone Temple Pilots
154,Gets Me Through,Ozzy Osbourne
155,The Way You Like It,Adema
156,I'll Be Here Awhile,311
157,Hit Or Miss,New Found Glory
158,Innocent,Fuel 
159,Voices,Disturbed
160,Drops of Jupiter (Tell Me),Train
161,Step Into The Light,Dust For Life
162,Let Sally Drive (Ride Sally Ride),Sammy Hagar
163,Lateralus,Tool
164,Digital Bath,Deftones
165,Sweet Daze ,Pete.
166,Rise,The Cult
167,Photograph,Weezer
168,Bodies,Drowning Pool
169,First Date,Blink-182
170,Elevation,U2
171,Bleed American,Jimmy Eat World
172,Nobody Wants to Be Lonely ,Ricky Martin & Christina Aguilera
173,Hang On To This,Days Of The New
174,Deep,Nine Inch Nails
175,Karma,Diffuser
176,It Don't Matter,Rehab
177,I Did It,Dave Matthews Band
178,Sick Cycle Carousel,Lifehouse
179,Superman Inside,Eric Clapton
180,Flavor of the Weak,American Hi-Fi
181,Make It Right,Econoline Crush
182,Pain,Stereomud 
183,Safe In New York City,AC/DC
184,Outside,Aaron Lewis from Staind (with Fred Durst from Limp Bizkit)
185,Wherever You Will Go,The Calling
186,Beginning Of The End,Systematic
187,Moto Psycho,Megadeth
188,Name Of The Game,The Crystal Method
189,What Took You So Long?,Emma Bunton
190,Politically Correct,SR-71
191,Makin' Money,Handsome Devil
192,Are You There?,Oleander
193,Again,Lenny Kravitz
194,Be Like That,3 Doors Down
195,Walk On,U2
196,My Happiness,Powderfinger
197,I Want To Live,Spacehog
198,God Gave Me Everything,Mick Jagger
199,What A Day,Nonpoint
200,When I'm Gone,3 Doors Down
201,Blurry,Puddle Of Mudd
202,By the Way,Red Hot Chili Peppers
203,Headstrong,Trapt
204,The Middle,Jimmy Eat World
205,Too Bad,Nickelback
206,Hero,Chad Kroeger
207,All My Life,Foo Fighters
208,Always,Saliva
209,No One Knows,Queens of the Stone Age
210,Youth Of The Nation,P.O.D.
211,The Red,Chevelle
212,You Know You're Right,Nirvana
213,Drift & Die,Puddle of Mudd
214,For You,Staind
215,Wasting My Time,Default
216,Fine Again,Seether
217,Can't Stop,Red Hot Chili Peppers
218,Aerials,System of a Down
219,She Hates Me,Puddle of Mudd
220, Crawling In The Dark,Hoobastank
221,One Last Breath,Creed
222,I Stand Alone,Godsmack
223,Last Nite,The Strokes
224,First Date,Blink-182
225,Poem,Taproot
226,Bother,Stone Sour
227, Complicated,Avril Lavigne
228,Prayer,Disturbed
229,Never Again,Nickelback
230,Defy You,The Offspring
231,Seein' Red,Unwritten Law
232,Remember,Disturbed
233,Running Away,Hoobastank
234,Cochise,Audioslave
235,Nice To Know You,Incubus
236,Clocks,Coldplay
237,One Little Victory,Rush
238,I'm with You,Avril Lavigne
239,Here to Stay,Korn
240,She Loves Me Not,Papa Roach
241,Honestly,Zwan
242,Toxicity,System of a Down
243,Die Another Day,Madonna
244,Demon Speeding,Rob Zombie
245,Lateralus,Tool
246,Sweetness,Jimmy Eat World
247,The Game of Love,Santana
248,Up All Night,Unwritten Law
249,Underneath Your Clothes,Shakira
250,Dreamer,Ozzy Osbourne
251,The Way You Like It,Adema
252,Warning,Incubus
253,Adriana,Headstrong
254,Downfall,TRUSTcompany
255,Not Falling,Mudvayne
256,Lonely Road Of Faith,Kid Rock
257,"Swing, Swing",The All-American Rejects
258,Keep Fishin',Weezer
259,The Zephyr Song,Red Hot Chili Peppers
260,Still Waiting,Sum 41
261,Someday,The Strokes
262,Thoughtless,Korn
263,Weathered,Creed
264,Lose Yourself,Eminem
265,Innervision,System of a Down
266,Get Away,Earshot
267,I Am Mine,Pearl Jam
268,Tomorrow,SR-71
269,The Taste Of Ink,The Used
270,Down,Socialburn
271,Sk8er Boi,Avril Lavigne
272,Alone I Break,Korn
273,Sound of the Underground,Girls Aloud
274,Hey Mister,Custom
275,The One,Foo Fighters
276,Picture,Kid Rock
277,Deny,Default
278,Drowning,Crazy Town
279,Where Are You Going,Dave Matthews Band
280,Get Over It,OK Go
281,Innocent,Our Lady Peace
282,Adrenaline,Gavin Rossdale
283,Little by Little,Oasis
284,Don't Stop,The Rolling Stones
285,Soak Up the Sun,Sheryl Crow
286,Live Again,Sevendust
287,Colourblind,Darius
288,All You Wanted,Michelle Branch
289,Hate to Say I Told You So,The Hives
290,My Friends Over You,New Found Glory
291,Without Me,Eminem
292,If Tomorrow Never Comes,Ronan Keating
293,The Last DJ,Tom Petty & The Heartbreakers
294,Get Free,The Vines
295,The Hindu Times,Oasis
296,Screaming Infidelities ,Dashboard Confessional
297,Somewhere Out There,Our Lady Peace
298,No Light,3rd Strike
299,Remember Me,Hoobastank
300,So Far Away,Staind
301,Headstrong,Trapt
302,Like a Stone,Audioslave
303,Numb,Linkin Park
304,No One Knows,Queens Of The Stone Age
305,Figured You Out,Nickelback
306,Can't Stop,Red Hot Chili Peppers
307,Faint,Linkin Park
308,Somewhere I Belong,Linkin Park
309,Always,Saliva
310,I Hate Everything About You,Three Days Grace
311,Send the Pain Below,Chevelle
312,Hit That,The Offspring
313,Seven Nation Army ,The White Stripes
314,Someday,Nickelback
315,Last Train Home,Lostprophets
316,Bring Me to Life,Evanescence
317,Fine Again,Seether
318,The Red,Chevelle
319,Weak and Powerless,A Perfect Circle
320,I Am The Highway,Audioslave
321,Are You Gonna Be My Girl?,Jet
322,Away from Me,Puddle of Mudd
323,Poem,Taproot
324,Still Frame,Trapt
325,The Outsider,A Perfect Circle
326,One Thing,Finger Eleven
327,Remember,Disturbed
328,Weathered,Creed
329,45,Shinedown
330,Just Because,Jane's Addiction
331,I Believe in a Thing Called Love,The Darkness
332,Still Waiting,Sum 41
333,Straight Out of Line,Godsmack
334,Meant to Live,Switchfoot
335,Honestly,Zwan
336,"Swing, Swing",The All-American Rejects
337,Show Me How to Live,Audioslave
338,Behind Blue Eyes,Limp Bizkit
339,Clocks,Coldplay
340,Think Twice,Eve 6
341,Re-Align,Godsmack
342,Price to Play,Staind
343,St. Anger,Metallica
344,Not Falling,Mudvayne
345,All the Things She Said,t.A.T.u.
346,Times Like These,Foo Fighters
347,In This Diary,The Ataris
348,The Boys of Summer,The Ataris
349,Stillborn,Zakk Wylde's Black Label Society
350,Feeling This,Blink-182
351,How About You,Staind
352,Stupid Girl,Cold
353,Innervision,System Of A Down
354,Closure,Chevelle
355,The Hell Song,Sum 41
356,Dosed,Red Hot Chili Peppers
357,Mad World,Michael Andrews
358,Buried Myself Alive,The Used
359,Fall Back Down,Rancid
360,Do You Call My Name,RA
361,Liberate,Disturbed
362,My Immortal,Evanescence
363,It's My Life,No Doubt
364,Rollover DJ,Jet
365,World So Cold,Mudvayne
366,Bottom of a Bottle,Smile Empty Soul
367,A Praise Chorus,Jimmy Eat World
368,Serenity,Godsmack
369,Unwell,matchbox twenty
370,Time Is Running Out,Muse
371,Rest Of My Life,Unwritten Law
372,Suffocate,Cold
373,Take It Off,The Donnas
374,Hysteria,Muse
375,Set Me Free,Velvet Revolver
376,Going Under,Evanescence
377,The Scientist,Coldplay
378,Inhale,Stone Sour
379,Bandages,Hot Hot Heat
380,Diamonds And Guns,Transplants
381,Blackout,(H?d)Planet Earth
382,Silver and Cold,AFI
383,Fly from the Inside,Shinedown
384,Frantic,Metallica
385,Imprint,DoubleDrive
386,Jump,Girls Aloud
387,Go with the Flow,Queens of the Stone Age
388,All in the Suit That You Wear,Stone Temple Pilots
389,The Only,Static-X
390,Running From Me,TRUSTcompany
391,Here without You,3 Doors Down
392,Won't Back Down,Fuel
393,American Life,Madonna
394,Farther,Outspoken
395,Hey Ya!,OutKast
396,Mine,Taproot
397,Girl's Not Grey,AFI
398,Falls on Me,Fuel
399,Everyone,Socialburn
400,Figured You Out,Nickelback
401,Boulevard of Broken Dreams,Green Day
402,Fall to Pieces,Velvet Revolver
403,Slither,Velvet Revolver
404,Cold,Crossfade
405,Cold Hard Bitch,Jet
406,Vertigo,U2
407,American Idiot,Green Day
408,Breaking the Habit,Linkin Park
409,Last Train Home,Lostprophets
410,Scars,Papa Roach
411,Home,Three Days Grace
412,Megalomaniac,Incubus
413,The Reason,Hoobastank 
414,Hit That,The Offspring
415,Just Like You,Three Days Grace
416,Let Me Go,3 Doors Down
417,Mr. Brightside,The Killers
418,I Am The Highway,Audioslave
419,Are You Gonna Be My Girl,Jet
420, Lying from You,Linkin Park
421,Since U Been Gone,Kelly Clarkson
422,This Love,Maroon 5
423,45,Shinedown
424,Vitamin R (Leading Us Along),Chevelle
425,The Outsider,A Perfect Circle
426,Re-Align,Godsmack
427,She Will Be Loved,Maroon 5
428,Meant To Live,Switchfoot
429,Burning Bright,Shinedown
430,So Cold,Breaking Benjamin
431,All Because of You,U2
432,I Miss You,Blink-182
433,Look What You've Done,Jet
434,Getting Away with Murder,Papa Roach
435,Ch-Check It Out,Beastie Boys
436,Ugly,The Exies
437,Rich Girl,Gwen Stefani 
438,Silver And Cold,AFI
439,So Far Away,Crossfade
440,One Thing,Finger Eleven
441,Float On,Modest Mouse
442,Breakaway,Kelly Clarkson
443,Hey Now,Tantric
444,Pieces of Me,Ashlee Simpson
445,I Believe In A Thing Called Love,The Darkness
446,Time Is Running Out,Muse
447,Maps,Yeah Yeah Yeahs
448,Duality,Slipknot
449,How About You,Staind
450,Anthem Of Our Dying Day,Story Of The Year
451,Broken,Seether
452,Touché,Godsmack
453,Vermilion,Slipknot
454,Pain,Jimmy Eat World
455,Take Me Out,Franz Ferdinand
456,Love Song,311
457,Closure,Chevelle
458,Open Your Eyes,Alter Bridge
459,Dirty Little Thing,Velvet Revolver
460,Redefine,Soil
461,All Downhill From Here,New Found Glory
462,My Happy Ending,Avril Lavigne
463,Triple Trouble,Beastie Boys
464,Until The Day I Die,Story Of The Year
465,Feelin' Way Too Damn Good,Nickelback
466,Running Blind,Godsmack
467,Talk Shows on Mute,Incubus
468,Take It Away,The Used
469,Ride,The Vines
470,Somebody Told Me,The Killers
471,"Jackson, Mississippi",Kid Rock
472,Rollover DJ,Jet
473,Vindicated,Dashboard Confessional
474,First Straw,311
475,If I Die Tomorrow,Motley Crue
476,Darling Nikki,Foo Fighters
477,All These Things That I've Done,The Killers
478,Slow Hands,Interpol
479,Behind Blue Eyes,Limp Bizkit
480,Only One,Yellowcard
481,Work,Jimmy Eat World
482,A Decade Under The Influence,Taking Back Sunday
483,5 Colours in Her Hair,McFly
484,Spin You Around,Puddle Of Mudd
485,This Fire,Franz Ferdinand
486,Razor's Edge,Saliva
487,So Far So Good,Thornley
488,I'll Stand by You [Children in Need 2004],Girls Aloud
489,Mono,Courtney Love
490,Save Me (Wake Up Call),Unwritten Law
491,Reptilia,The Strokes
492,(Can't Get My) Head Around You,The Offspring
493,Alive,Kenny Wayne Shepherd
494,The End Of The World,The Cure
495,Heel Over Head,Puddle of Mudd
496,Obviously,McFly
497,Some Kind Of Monster,Metallica
498,Sunday,Lo-Pro
499,Broken Down,Sevendust
500,Best of You,Foo Fighters
501,Save Me,Shinedown
502,Photograph,Nickelback
503,Wasteland,10 Years
504,Feel Good Inc.,Gorillaz
505,Be Yourself,Audioslave
506,Remedy,Seether
507,Holiday,Green Day
508,Scars,Papa Roach
509,The Hand that Feeds,Nine Inch Nails
510,Home,Three Days Grace
511,You're Beautiful,James Blunt
512,Burning Bright,Shinedown
513,DOA,Foo Fighters
514,Hypnotize,System of a Down
515,Only,Nine Inch Nails
516,Bat Country,Avenged Sevenfold
517,Mr. Brightside,The Killers
518,Animals,Nickelback
519,Cold,Crossfade
520,Right Here,Staind
521,Beverly Hills,Weezer
522,Look What You've Done,Jet
523,"Dance, Dance",Fall Out Boy
524,So Far Away,Crossfade
525,I'm Not Okay (I Promise),My Chemical Romance
526,If I Die Tomorrow,Motley Crue
527,Every Day Is Exactly the Same,Nine Inch Nails
528,Wake Me Up When September Ends,Green Day
529,Happy?,Mudvayne
530,Save Me (Wake Up Call),Unwritten Law
531,Twisted Transistor,Korn
532,Let Me Go,3 Doors Down
533,Work,Jimmy Eat World
534,Because of You,Kelly Clarkson
535,Hollaback Girl,Gwen Stefani
536,All Because Of You,U2
537,Dare, Gorillaz
538,Find The Real,Alter Bridge
539,Perfect Situation,Weezer
540,"Sugar, We're Goin' Down",Fall Out Boy
541,I Bet You Look Good On The Dancefloor,Arctic Monkeys
542,Dirty Little Thing,Velvet Revolver
543,Just Stop,Disturbed
544,E-Pro,Beck
545,Stricken,Disturbed
546,Doesn't Remind Me,Audioslave
547,Hysteria (I Want It Now),Muse
548,Behind These Hazel Eyes,Kelly Clarkson
549,Lonely No More,Rob Thomas
550,Little Sister,Queens of the Stone Age
551,Talk,Coldplay
552,All These Things That I've Done,The Killers
553,Sooner or Later,Breaking Benjamin
554, Get Stoned,Hinder
555,B.Y.O.B.,System of a Down
556,Mississippi Queen,Ozzy Osbourne
557,Ugly,The Exies
558,I Don't Know,Lostprophets
559,Falling,Staind
560,Speed of Sound,Coldplay
561,You and Me,Lifehouse
562,Swing Life Away,Rise Against
563,The Clincher,Chevelle
564,Out Of Exile,Audioslave
565,Blue Jeans,Silvertide
566,When I'm Gone (Sadie),No Address
567,The Denial Twist,The White Stripes
568,Vermillion,Slipknot
569,Stand Up,Trapt
570,Pieces,Sum 41
571,Cold (But I'm Still Here),Evans Blue
572,"Come On, Come In",Velvet Revolver
573,Precious,Depeche Mode
574,Stars,Switchfoot
575,Walking Dead,Z-Trip featuring Chester Bennington
576,Shine It All Around,Robert Plant and the Strange Sensation
577,Lights and Sounds,Yellowcard
578,Live For Today,3 Doors Down
579,Not Now,Blink-182
580,Don't Tread on Me,311
581,Hollow,Submersed
582,All That I've Got,The Used
583,The Great Divide,Scott Stapp
584,Breakin',The Music
585,Question!,System of a Down
586,Who Says You Can't Go Home,Bon Jovi & Jennifer Nettles
587,Happens All The Time,Cold
588,Bom Bom Bom,Living Things
589,I'm The One,Static-X
590,Colors,Crossfade
591,I'm So Sick,Flyleaf
592,Face To Face,Sevendust
593,Attack,30 Seconds To Mars
594,Say Goodbye,Theory Of A Deadman
595,Sick Love Song ,Motley Crue
596,Blue Orchid,The White Stripes
597,Middle Of Nowhere,Hot Hot Heat
598,Rain,Breaking Benjamin
599,King without a Crown,Matisyahu
600,Dani California,Red Hot Chili Peppers
601,Pain,Three Days Grace
602,Animals,Nickelback
603,Animal I Have Become,Three Days Grace
604,Snow ((Hey Oh)),Red Hot Chili Peppers
605,Welcome to the Black Parade,My Chemical Romance
606,Through Glass,Stone Sour
607,Perfect Situation,Weezer
608,Every Day Is Exactly The Same,Nine Inch Nails
609,Wasteland,10 Years
610,Hypnotize,System Of A Down
611,It's Not Over,Daughtry
612,"Dance, Dance",Fall Out Boy
613,The Pot,Tool
614,Anna-Molly,Incubus
615,Miss Murder,AFI
616,"This Ain't a Scene, It's an Arms Race",Fall Out Boy
617,Tell Me Baby,Red Hot Chili Peppers
618,When You Were Young,The Killers
619,Speak,Godsmack
620,World Wide Suicide,Pearl Jam
621,Twisted Transistor,Korn
622,From Yesterday,30 Seconds to Mars
623,Get Stoned,Hinder
624,The Sweet Escape,Gwen Stefani
625,Just Stop,Disturbed
626,Lips of an Angel,Hinder
627,"Steady, As She Goes",The Raconteurs
628,The Diary of Jane,Breaking Benjamin
629,Lights And Sounds,Yellowcard
630,Face Down,The Red Jumpsuit Apparatus
631,Talk,Coldplay
632,The Denial Twist,The White Stripes
633,Tear You Apart,She Wants Revenge
634,Land of Confusion,Disturbed
635,Famous Last Words,My Chemical Romance
636,I Bet You Look Good On The Dancefloor,Arctic Monkeys
637,Ladies and Gentlemen,Saliva
638,King Without A Crown,Matisyahu
639,Sillyworld,Stone Sour
640,Vicarious,Tool
641,Falling,Staind
642,Hate Me,Blue October
643,Cold (But I'm Still Here),Evans Blue
644,Starlight,Muse
645,Dare,Gorillaz featuring Shaun Ryder
646,Crazy,Gnarls Barkley
647,Supermassive Black Hole,Muse
648,The Kill (Bury Me),30 Seconds to Mars
649,No Way Back,Foo Fighters
650,Rockstar,Nickelback
651,Out Of Exile,Audioslave
652,Rehab,Amy Winehouse
653,Crooked Teeth,Death Cab For Cutie
654,I Dare You,Shinedown
655,Wind It Up,Gwen Stefani
656,I'm So Sick,Flyleaf
657,American Witch ,Rob Zombie
658,Paralyzed,Rock Kills Kid
659,Crazy Bitch,Buckcherry
660,Ready To Fall,Rise Against
661,Nausea,Beck
662,Original Fire,Audioslave
663,Fall into Sleep,Mudvayne
664,Lonely Train,Black Stone Cherry
665,When Your Heart Stops Beating,(+44)
666,Call Me When You're Sober,Evanescence
667,The Enemy,Godsmack
668,Victim,Eighteen Visions
669,Devil's Got A New Disguise,Aerosmith
670,Coming Undone,Korn
671,Move,Thousand Foot Krutch
672,Patience,Take That
673,Falls Apart,Hurt
674,Goodbye,Army of Anyone 
675,Seize The Day,Avenged Sevenfold
676,Ten Thousand Fists,Disturbed
677,Rapture,Hurt
678,Chasing Cars,Snow Patrol
679,I Don't Feel Like Dancin',Scissor Sisters
680,Goodbye For Now,P.O.D.
681,Don't Wait,Dashboard Confessional
682,All These Things I Hate (Revolve Around Me),Bullet for My Valentine
683,Next 2 You,Buckcherry
684,Revelations,Audioslave
685,Ugly,Sevendust
686,Devil's Daughter,Silvertide
687,Walk Away,Kelly Clarkson
688,Heroes,Shinedown
689,Wings Of A Butterfly,HIM
690,Here (In Your Arms),Hellogoodbye
691,Beast And The Harlot,Avenged Sevenfold
692,Naive,The Kooks
693,Youth,Matisyahu
694,Breaking Free,High School Musical
695,Into The Ocean,Blue October
696,Far Away,Nickelback
697,Hands Open,Snow Patrol
698,Do I Make You Proud,Taylor Hicks
699,Do It For Me Now,Angels And Airwaves
700,What I've Done,Linkin Park
701,The Pretender,Foo Fighters
702,Fake It,Seether
703,Snow ((Hey Oh)),Red Hot Chili Peppers
704,From Yesterday,30 Seconds To Mars
705,Psycho,Puddle of Mudd
706,Never Too Late,Three Days Grace
707,Paralyzer,Finger Eleven
708,Ladies And Gentlemen,Saliva
709,Long Road to Ruin,Foo Fighters
710,Breath,Breaking Benjamin
711,Shadow of the Day,Linkin Park
712,Icky Thump,The White Stripes
713,Starlight,Muse
714,Makes Me Wonder,Maroon 5
715,Girlfriend,Avril Lavigne
716,Love Song,Sara Bareilles
717,Sillyworld,Stone Sour
718,Face Down,The Red Jumpsuit Apparatus
719,I Get It,Chevelle
720,Almost Easy,Avenged Sevenfold
721,Forever,Papa Roach
722,Bleed It Out,Linkin Park
723,The Enemy,Godsmack
724,Given Up,Linkin Park
725,I Don't Wanna Stop,Ozzy Osbourne
726,Hey There Delilah,Plain White T's
727,Famous Last Words,My Chemical Romance
728,Survivalism,Nine Inch Nails
729,It's Not Over,Daughtry
730, Apologize,OneRepublic
731,Supermassive Black Hole,Muse
732,Tarantula,The Smashing Pumpkins
733,Revelations,Audioslave
734,How Long,Hinder
735,Prayer Of The Refugee,Rise Against
736,Famous,Puddle of Mudd
737,Gimme More,Britney Spears
738,Ten Thousand Fists,Disturbed
739,Empty Walls,Serj Tankian
740,Level,The Raconteurs
741,So Hott,Kid Rock
742,Until the End,Breaking Benjamin
743,She Builds Quick Machines,Velvet Revolver
744,"This Ain't A Scene, It's An Arms Race",Fall Out Boy
745,Ten Ton Brick,Hurt
746,Piece of Me,Britney Spears
747,Life Is Beautiful,Sixx: A.M.
748,Sorry,Buckcherry
749,Grace Kelly,Mika
750,Misery Business,Paramore
751,Stop and Stare,OneRepublic
752,Home,Daughtry
753,Becoming the Bull,Atreyu
754,Thrash Unreal,Against Me!
755,Crushcrushcrush,Paramore
756,Well Enough Alone,Chevelle
757,Never Again,Kelly Clarkson
758,Dig,Incubus
759,Straight Lines,Silverchair
760,Made Of Scars,Stone Sour
761,Rise Today,Alter Bridge
762,All These Things I Hate (Revolve Around Me),Bullet For My Valentine
763,Amen,Kid Rock
764,The Good Left Undone,Rise Against
765,Hard Sun,Eddie Vedder
766,Not Going Away,Ozzy Osbourne
767,Riot,Three Days Grace
768,Believe,The Bravery
769,Evolution,Korn
770,Breathe Into Me,Red
771,Phantom Limb,The Shins
772,Homecoming Queen,Hinder
773,About You Now,Sugababes
774,The Last Fight,Velvet Revolver
775,All Around Me,Flyleaf
776,Dull Boy,Mudvayne
777,The Missing Frame,AFI
778,Politics ,Korn
779,Dance Of The Manatee,Fair To Midland
780,Stiff Kittens,Blaqk Audio
781,Shine,Take That
782,When You're Gone,Avril Lavigne
783,Far Behind,Social Distortion
784,The Running Free,Coheed And Cambria
785,Hold On,Korn
786,You Wouldn't Know,HellYeah
787,If I Had Eyes,Jack Johnson
788,Everything,Buckcherry
789,The War,Angels And Airwaves
790,Soldiers,Drowning Pool
791,What Time Is It?,High School Musical 2
792,My Curse,Killswitch Engage
793,Big Casino,Jimmy Eat World
794,Island (Float Away),The Starting Line
795,Scream Aim Fire,Bullet for My Valentine
796,Liar (It Takes One To Know One),Taking Back Sunday
797,Drown You Out,Crossfade
798,The Ecstasy Of Gold,Metallica
799,Far Cry,Rush
800,Use Somebody,Kings of Leon
801,Psycho,Puddle Of Mudd
802,Inside the Fire,Disturbed
803,Second Chance,Shinedown
804,Long Road To Ruin,Foo Fighters
805,Sex on Fire,Kings of Leon
806,"You're Gonna Go Far, Kid",The Offspring 
807,The Day That Never Comes,Metallica
808,Viva La Vida,Coldplay
809,Pork and Beans,Weezer
810,It's Not My Time,3 Doors Down
811,Shadow Of The Day,Linkin Park
812,Almost Easy,Avenged Sevenfold
813,Let It Die,Foo Fighters
814,Believe,Staind
815,Cyanide,Metallica
816,Womanizer,Britney Spears
817,Believe,The Bravery
818,Something in Your Mouth,Nickelback
819,I Get It,Chevelle
820,Hot n Cold,Katy Perry
821,Given Up,Linkin Park
822,Crushcrushcrush,Paramore
823,Rise Above This,Seether
824,Devour,Shinedown
825,Bad Girlfriend,Theory of a Deadman
826,Chinese Democracy,Guns N' Roses
827,Indestructible,Disturbed
828,The Good Left Undone,Rise Against
829,Breakdown,Seether
830,Ten Ton Brick,Hurt 
831,Until The End,Breaking Benjamin
832,Let It Rock,Kevin Rudolf
833,Addicted,Saving Abel
834,Ain't No Rest for the Wicked,Cage the Elephant
835,I'm Not Jesus,Apocalyptica featuring Corey Taylor
836,Do What You Do,Mudvayne
837,If I Had Eyes,Jack Johnson
838,Gives You Hell,The All-American Rejects
839,Down And Out,Tantric
840,Love Me Dead,Ludo
841,Broken Again,Another Animal
842,Hammerhead,The Offspring
843,Bodysnatchers,Radiohead
844,The Bleeding,Five Finger Death Punch
845,Rock 'N Roll Train,AC/DC
846,Well Thought Out Twinkles,Silversun Pickups
847,Circus,Britney Spears
848,Hold On,Korn
849,Falling Down,Atreyu
850,Lost!,Coldplay
851,Undead,Hollywood Undead
852,Decode,Paramore
853,Train,3 Doors Down
854,Shake It,Metro Station
855,Amen,Kid Rock
